Campaign name	Campaign ID	Campaign flight start date	Campaign flight end date	Campaign budget	Campaign planned cost	Campaign buy total	Buy detail	Supplier	Package type name	Primary placement	Name	Placement number	Flight start date	Flight end date	Dimension	Cost method	Rate	Total Planned Units	Total Planned Cost	2017-09 - Planned Units	2017-09 - Planned Cost	2017-10 - Planned Units	2017-10 - Planned Cost	Company ID	Person ID	Exported by	Exported on	Exported from
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Package		PK5G31_TJN_MAR_023_Content_BUSTLE_Interactive Flowchart Pacakage_Run of Channel_Contextual_F25-54_Click and View_NV_NA	PK5G31	10/13/2017	11/12/2017		CPA	0.40	"250,000"	"$100,000.00 "			"153,226"	"$61,290.40 "	MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G39_TJN_MAR_023_Content_BUSTLE_Interactive Flowchart with Social Promotion #1_Run of Channel_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G39	10/13/2017	11/12/2017	1 x 1	CPA	0.40	"250,000"	"$100,000.00 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3B_TJN_MAR_023_Content_BUSTLE_Interactive Flowchart with Social Promotion #2_Run of Channel_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3B	10/13/2017	11/12/2017	1 x 1	CPA	0.40	"250,000"	"$100,000.00 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3C_TJN_MAR_023_Content_BUSTLE_Interactive Flowchart with Social Promotion #3_Run of Channel_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3C	10/13/2017	11/12/2017	1 x 1	CPA	0.40	"250,000"	"$100,000.00 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Package		PK5G32_TJN_MAR_023_Content_BUSTLE_Standard Articles Package_Run of Channel_Contextual_F25-54_Click and View_NV_NA	PK5G32	10/5/2017	11/12/2017		CPA	0.35	"238,095"	"$83,333.25 "			"164,835"	"$57,692.25 "	MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3D_TJN_MAR_023_Content_BUSTLE_Standard Features with Social Promotion #1_Run of Channel_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3D	10/5/2017	11/12/2017	1 x 1	CPA	0.35	"238,095"	"$83,333.25 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3F_TJN_MAR_023_Content_BUSTLE_Standard Features with Social Promotion #2_Run of Channel_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3F	10/5/2017	11/12/2017	1 x 1	CPA	0.35	"238,095"	"$83,333.25 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3G_TJN_MAR_023_Content_BUSTLE_Standard Features with Social Promotion #3_Run of Channel_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3G	10/5/2017	11/12/2017	1 x 1	CPA	0.35	"238,095"	"$83,333.25 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Package		PK5G33_TJN_MAR_023_Content_BUSTLE_Custom Shot Feature Package_Run of Channel_Contextual_F25-54_Click and View_NV_NA	PK5G33	10/5/2017	11/12/2017		CPA	0.35	"238,095"	"$83,333.25 "			"164,835"	"$57,692.25 "	MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3H_TJN_MAR_023_Content_BUSTLE_Custom Shot Feature with Social Promotion #1_Run of Channel_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3H	10/5/2017	11/12/2017	1 x 1	CPA	0.35	"238,095"	"$83,333.25 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3J_TJN_MAR_023_Content_BUSTLE_Custom Shot Feature with Social Promotion #2_Run of Channel_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3J	10/5/2017	11/12/2017	1 x 1	CPA	0.35	"238,095"	"$83,333.25 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3K_TJN_MAR_023_Content_BUSTLE_Custom Shot Feature with Social Influencer Content with Social Promotion #3_Run of Channel_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3K	10/5/2017	11/12/2017	1 x 1	CPA	0.35	"238,095"	"$83,333.25 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Package		PK5G34_TJN_MAR_023_Social_BUSTLE_Instagram Meme Package_Social_Contextual_F25-54_Click and View_NV_NA	PK5G34	10/5/2017	11/12/2017		CPA	0.05	"1,777,778"	"$88,888.90 "			"1,230,770"	"$61,538.50 "	MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3L_TJN_MAR_023_Social_BUSTLE_Instagram Meme with Sponsored Promotion #1_Social_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3L	10/5/2017	11/12/2017	1 x 1	CPA	0.05	"1,777,778"	"$88,888.90 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3M_TJN_MAR_023_Social_BUSTLE_Instagram Meme with Sponsored Promotion #2_Social_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3M	10/5/2017	11/12/2017	1 x 1	CPA	0.05	"1,777,778"	"$88,888.90 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3N_TJN_MAR_023_Social_BUSTLE_Instagram Meme with Sponsored Promotion #3_Social_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3N	10/5/2017	11/12/2017	1 x 1	CPA	0.05	"1,777,778"	"$88,888.90 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3P_TJN_MAR_023_Social_BUSTLE_Instagram Meme with Sponsored Promotion #4_Social_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3P	10/5/2017	11/12/2017	1 x 1	CPA	0.05	"1,777,778"	"$88,888.90 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Package		PK5G35_TJN_MAR_023_Social_BUSTLE_Instagram Custom Content Package_Social_Contextual_F25-54_Click and View_NV_NA	PK5G35	10/16/2017	11/12/2017		CPA	0.05	"888,889"	"$44,444.45 "			"507,937"	"$25,396.85 "	MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3Q_TJN_MAR_023_Social_BUSTLE_Instagram Custom Content with Sponsored Promotion [From Custom Shot Features] #1_Social_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3Q	10/16/2017	11/12/2017	1 x 1	CPA	0.05	"888,889"	"$44,444.45 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3R_TJN_MAR_023_Social_BUSTLE_Instagram Custom Content with Sponsored Promotion [From Custom Shot Features] #2_Social_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3R	10/16/2017	11/12/2017	1 x 1	CPA	0.05	"888,889"	"$44,444.45 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Package		"PK5G36_TJN_MAR_023_Content_BUSTLE_ROC Fashion, Lifestyle Channel - Package_Run of Site_Contextual_F25-54_Click and View_NV_NA"	PK5G36	10/5/2017	11/12/2017		CPMV	20.80	"4,687,500"	"$97,500.00 "			"3,245,193"	"$67,500.01 "	MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		"PK5G3X_TJN_MAR_023_Content_BUSTLE_ROC Fashion, Lifestyle Channel - Panoramic Unit_Run of Site_Contextual_F25-54_1 x 1_Click and View_NV_NA"	PK5G3X	10/5/2017	11/12/2017	1 x 1	CPMV	20.80	"4,687,500"	"$97,500.00 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Standalone		PK5G3Z_TJN_MAR_023_Content_BUSTLE_RON - Bustle & Elite Daily 3rd Party Data Targeted & Keyword Targeted - Panoramic_Run of Network_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3Z	10/5/2017	11/12/2017	1 x 1	CPMV	18.00	"3,250,000"	"$58,500.00 "			"2,250,000"	"$40,500.00 "	MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Standalone		PK5G3T_TJN_MAR_023_Content_BUSTLE_Fall Fashion Finds Topic Page Sponsorship_Run of Site_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3T	10/5/2017	11/12/2017	1 x 1	Flat	10000.00	"500,000"	"$10,000.00 "			"346,154"	"$6,923.08 "	MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Package		PKLN81_TJN_MAR_023_Content_BUSTLE_HPTO - 10/12_Run of Site_Contextual_F25-54_Click and View_NV_NA	PKLN81	10/12/2017	10/31/2017		Flat	8500.00	"150,000"	"$8,500.00 "			"150,000"	"$8,500.00 "	MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G3W_TJN_MAR_023_Content_BUSTLE_HPTO - Panoramic Unit 10/12_Run of Site_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G3W	10/12/2017	10/31/2017	1 x 1	Flat	8500.00	"150,000"	"$8,500.00 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Package		PKM1VS_TJN_MAR_023_Content_BUSTLE_HPTO - 10/17_HP Takeover_Contextual_F25-54_Click and View_NV_NA	PKM1VS	10/17/2017	10/17/2017		Flat	8500.00	"300,000"	"$8,500.00 "			"300,000"	"$8,500.00 "	MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PKLNMK_TJN_MAR_023_Content_BUSTLE_HPTO - Panoramic Unit 10/17_Run of Site_Contextual_F25-54_1 x 1_Click and View_NV_NA	PKLNMK	10/17/2017	10/17/2017	1 x 1	Flat	8500.00	"300,000"	"$8,500.00 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PKLNMT_TJN_MAR_023_Content_BUSTLE_HPTO - 300x250 10/17_Run of Site_Contextual_F25-54_300 x 250_Click and View_NV_NA	PKLNMT	10/17/2017	10/17/2017	300 x 250	Flat	8500.00	"300,000"	"$8,500.00 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Package		PKM1X7_TJN_MAR_023_Content_BUSTLE_HPTO - 10/26_HP Takeover_Contextual_F25-54_Click and View_NV_NA	PKM1X7	10/26/2017	10/26/2017		Flat	8500.00	"300,000"	"$8,500.00 "			"300,000"	"$8,500.00 "	MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PKLNMZ_TJN_MAR_023_Content_BUSTLE_HPTO - Panoramic Unit 10/26_Run of Site_Contextual_F25-54_1 x 1_Click and View_NV_NA	PKLNMZ	10/26/2017	10/26/2017	1 x 1	Flat	8500.00	"300,000"	"$8,500.00 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PKLNNB_TJN_MAR_023_Content_BUSTLE_HPTO - 300x250 10/26_Run of Site_Contextual_F25-54_300 x 250_Click and View_NV_NA	PKLNNB	10/26/2017	10/26/2017	300 x 250	Flat	8500.00	"300,000"	"$8,500.00 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Package		PKM2W8_TJN_MAR_023_Content_BUSTLE_HPTO - 10/31_HP Takeover_Contextual_F25-54_Click and View_NV_NA	PKM2W8	10/31/2017	10/31/2017		Flat	8500.00	"300,000"	"$8,500.00 "			"300,000"	"$8,500.00 "	MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PKLNNJ_TJN_MAR_023_Content_BUSTLE_HPTO - Panoramic Unit 10/31_Run of Site_Contextual_F25-54_1 x 1_Click and View_NV_NA	PKLNNJ	10/31/2017	10/31/2017	1 x 1	Flat	8500.00	"300,000"	"$8,500.00 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PKLNNN_TJN_MAR_023_Content_BUSTLE_HPTO - 300x250 10/31_Run of Site_Contextual_F25-54_300 x 250_Click and View_NV_NA	PKLNNN	10/31/2017	10/31/2017	300 x 250	Flat	8500.00	"300,000"	"$8,500.00 "					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Package		PK5G38_TJN_MAR_023_Content_BUSTLE_Custom Content Roadblock - Package_Roadblock_Contextual_F25-54_Click and View_NV_NA	PK5G38	10/5/2017	11/12/2017		Free	0.00	"1,114,286"	$0.00 			"771,429"	$0.00 	MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G41_TJN_MAR_023_Content_BUSTLE_Custom Content Roadblock Standard Feature 1 - Panoramic_Roadblock_Contextual_F25-54_1 x 1_Click and View_NV_NA	PK5G41	10/5/2017	11/12/2017	1 x 1	Free	0.00	"1,114,286"	$0.00 					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
TJN_MAR_023_Marshalls 2H Digital_F18	CPD8SG	9/5/2017	2/3/2018	"$450,919.00 "	"$2,212,322.27 "	"$2,212,322.27 "	I | TJN | MAR	BUSTLE	Child		PK5G42_TJN_MAR_023_Content_BUSTLE_Custom Content Roadblock Standard Feature 1 - 300x250_Roadblock_Contextual_F25-54_300 x 250_Click and View_NV_NA	PK5G42	10/5/2017	11/12/2017	300 x 250	Free	0.00	"1,114,286"	$0.00 					MSNYID	MBUIMONY	MINH BUI	"2017-11-08 12:04:40, EST"	Prisma Campaign Ad server
